País,Departamento,Nombre del Sitio
Honduras,Atlántida,ESM La Ceiba
Honduras,Atlántida,San Juan Pueblo
Honduras,Atlántida,Sambo Creek
Honduras,Choluteca,Hospital del Sur
Honduras,Choluteca,El Triunfo
Honduras,Colón,Hospital San Isidro
Honduras,Comayagua,Hospital Regional Santa Teresa
Honduras,Comayagua,Jose María Ochoa
Honduras,Comayagua,Episcopal de Siguatepeque
Honduras,Copán,Hospital de Occidente
Honduras,Copán,Entrada a Copán
Honduras,Cortés,(CMO) Miguel Paz Barahona
Honduras,Cortés,IHSS - San Pedro Sula
Honduras,Cortés,Episcopal de SPS
Honduras,El_Paraíso,Hospital Gabriela Alvarado
Honduras,El_Paraíso,Luis Lazo Arriaga
Honduras,Francisco_Morazán,Alonso Suazo
Honduras,Francisco_Morazán,El Manchen
Honduras,Francisco_Morazán,Las Crucitas
Honduras,Francisco_Morazán,Hospital Escuela
Honduras,Francisco_Morazán,IHSS - Tegucigalpa
Honduras,Olancho,Hospital San Francisco
Honduras,Olancho,Policlinico Catacamas
El_Salvador,La_Libertad,UDS Díaz del Pinal
El_Salvador,La_Libertad,UDS Puerto de la Libertad
El_Salvador,La_Libertad,UDS Ciudad Arce
El_Salvador,La_Libertad,UDS Lourdes Colón
El_Salvador,La_Libertad,UDS Quezaltepeque
El_Salvador,La_Libertad,UDS San Juan Opico
El_Salvador,San_Miguel,UDS Periferica San Miguel
El_Salvador,San_Miguel,UDS La Presita
El_Salvador,San_Salvador,UDS Zacamil
El_Salvador,San_Salvador,UDS Unicentro Soyapango
El_Salvador,San_Salvador,UDS San Miguelito
